reviewerID,recommendation_product
AIBZYH7KI1AF6,"B00005JS5C,B00006L9LC,B000GLRREU,B000X2FPXC,B002RZZXYE,B003983HRI,B00BMVV3MK,B00G5L867C,B00GW58YC8,B00W259T7G,B00XDB3QTA,B01B5GTUM6,B01C7G4REE,B00ACIFQGS,B00FXW81RY,B00JN1JMWY,B00KA3VEG6,B00MPGFVHY,B00O4UYXC8,B00PJIPZGW,B01FWBN620,B00F16IVYA,B00021CDQ6,B0002OZ018,B000GI3TZ4,B000MIH34Q,B000PHVTVC,B000Q34ZS4,B000SWY05Q,B000YBNL2Y,B0013B53DY,B0013U0EYI,B0015ZAOLY,B0015Z532O,B00172JYM0,B001GAOUZY,B001T0HHDS,B00205CJWK,B002D48QUC,B002P3L99G,B003B6S36S,B003CR4KRM,B004JKNYL4,B004Q1OCQ2,B004SUY40A,B004SUY46E,B004XHOBAG,B00512SFZO,B006NZ3PYY,B0079K5ZPY,B00837YY18,B008H6MXBI,B00BEZBQMQ,B00BNUF34E,B00CLIC7E6,B00CUF29WU,B00EL11LW0,B00ES5KT54,B00EU6NK66,B00FBH5AXY,B00FEGOCCM,B00G187CCO,B00G2JJDGU,B00GBH8TBS,B00JBUJ6QO,B00JR67PU6,B00KWGZD36,B00KYAYL2E,B00LA5NKTM,B00LA5NHXQ,B00NGJLCEK,B00O0GBRL6,B00Q7BBDXY,B00QREE3FG,B00QTTJWMS,B00R69ZDW8,B00SXM70UA,B00U1E54CE,B00UVRZLLA,B00WNC5L3E,B00X8T2L5W,B00XLYPGF6,B00YHPQLO8,B0129W97S2,B0136SHERY,B013QWS5A0,B013QWT4F0,B0166EMYQG,B016IXPWO6,B019N8UNK6,B01A0NT3D6,B01ALDX700,B01C8278QQ,B01CEJLJOK,B01DQG37VS,B01DWRRVFY,B01EBTAU5K,B01ELU4DSE,B01FEDQ1V4,B01FTDAHVO"
A15WSZ11YEOKMU,"B00005JS5C,B0002JHI1I,B000URXP6E,B0013YXQ58,B001JKRNX2,B004A7NXG2,B00BMVV3MK,B00JY8FFDQ,B00ZPVJ8MK,B013QT8C56,B01BZV6VVY,B0006ONA7A,B00FKXV8ZI,B000PHANNM,B003MWEIA6,B00ACIFQGS,B00FXW81RY,B00KA3VEG6,B00KW4LIJQ,B00O4UYXC8,B00PYH70SY,B00X2RPAVM,B00ZZ17P84,B0170ZHCB2,B01ANF7VJO,B006ZZTB9A,B00COW4G9S,B00I964ISW,B00J7S8R3I,B015PWVWS6,B019PFEJS4,B01CHC2BOQ,B01ELGT77K,B01H6F88MS,B0002OZ018,B0002ZOF22,B0007M11XQ,B000GDJDPE,B000HX4JWK,B000MNJMDG,B000N2KWOY,B000PHZ7HO,B000SWY05Q,B000WMWR1G,B000YBNL2Y,B000Z601F8,B0015VIKZ0,B0015Z532O,B0016191HU,B001T0HHDS,B001T0HHAG,B002D48QUC,B002P3L99G,B003B6S36S,B003CHCYVG,B003CR4KRM,B003V1I44E,B004Q1OCQ2,B004QA77JW,B0052H2JXW,B005EZSUS0,B006MPZKCA,B008H6MXBI,B008MAPGEK,B0090QKZ9G,B00B1IFMH6,B00CLIC7E6,B00CUF29WU,B00D6V6TTG,B00EEW7NPA,B00EU6NK66,B00FBH5AXY,B00II17BAA,B00IRNQM22,B00JRW7QCC,B00LA5NKTM,B00LA5NHXQ,B00QA29O2C,B00QREE3FG,B00QTTJWMS,B00U1E54CE,B00U6ZCD2C,B00UVRZLLA,B00X7NEOVS,B00X8T2L5W,B00XLYPGF6,B00YFVC15W,B00ZVFKY14,B011J6HJKM,B011KPIPRI,B013QWS5A0,B015OVPE3C,B016IXPWO6,B01714LPZG,B01ALDX700,B01C8278QQ,B01DQG37VS,B000ULPD5G,B00JTP5COQ,B01ALDXB6U"
A3K6852AILJ825,"B00005JS5C,B000URXP6E,B0013YXQ58,B001AMRQ2W,B001JKRNX2,B005K0T4OI,B00IE3Y5GK,B00JY8FFDQ,B00MH07GZ8,B00ZPVJ8MK,B0176E2C62,B01B54XW54,B01BZV6VVY,B000S805IG,B017MNBBFU,B018JXFITC,B00CZ509YU,B00EIQPRR8,B00FXW81RY,B00KA3VEG6,B00O4UYXC8,B00TEMYTBG,B00VHRBBU8,B00X2RPAVM,B00YAFK7UE,B00ZZ17P84,B01D2SSEUE,B006ZZTB9A,B00I964ISW,B00J7S8R3I,B00K7W31EI,B00PK0PGEK,B00XUWLRO8,B0197MM56S,B01D3UL160,B01ELGT77K,B01H6F88MS,B0002ZOF22,B000HX4JWK,B000MNJMDG,B000N2KWOY,B000PHZ7HO,B000SWY05Q,B000WMWR1G,B000YBNL2Y,B000Z601F8,B0015Z532O,B0019IVEEI,B001LYAQB2,B001T0HHDS,B001T0HHAG,B00203SDQS,B002BU1TZ2,B002D48QUC,B002P3L99G,B003B6S36S,B003CHCYVG,B003CR4KRM,B003V1I44E,B004Q1OCQ2,B004QA77JW,B0052H2JXW,B005EZSUS0,B006MPZKCA,B008H6MXBI,B008MAPGEK,B0090QKZ9G,B009FKGDHU,B00B1IFMH6,B00EU6NK66,B00II17BAA,B00IRNQM22,B00IZO0LLG,B00LA5NKTM,B00QREE3FG,B00QTTJWMS,B00U1E54CE,B00U6ZCD2C,B00UVRZLLA,B00V6R3TUE,B00X7NEOVS,B00X8T2L5W,B00XLYPGF6,B00ZL8YFSE,B00ZVFKY14,B011J6HJKM,B015OVPE3C,B01714LPZG,B0199MPMSO,B01ALDX700,B01C8278QQ,B01CKH82Y6,B01DQG37VS,B01FEDQ1V4,B000ULPD5G,B001G31LSA,B001NBBAQI,B0060AXNUI,B00CBEFDFA,B00JTP5COQ"
A3LX2VT91TE1M1,"B00005JS5C,B0000C4KJX,B000IQSU0I,B000URXP6E,B0013YXQ58,B001ET7FZE,B001JKRNX2,B001OHV1H4,B005K0T4OI,B00JY8FFDQ,B00LP9UFYG,B01BZV6VVY,B01CTE4DAM,B00FKXV8ZI,B00SGHZDBU,B017JK62UA,B0192UFJQI,B000PHANNM,B003MWEIA6,B00ACIFQGS,B00D83TNRM,B00EIQPRR8,B00FXW81RY,B00KA3VEG6,B00KW4LIJQ,B00LIGBCTS,B00M2Q3DBI,B00MRXJRZW,B00SPPZPQG,B00TEMYTBG,B00ZZ17P84,B0053WVNPG,B006ZZTB9A,B00AJYY7HY,B00COW4G9S,B00E0K6KMI,B00ENNV74I,B00KP1CTVW,B00NGIVLVK,B00NHM0F0I,B00XUWLRO8,B014MAZELI,B014PLT4N8,B01ELGT77K,B0002ZOF22,B000GI3TZ4,B000HX4JWK,B000JYNDXS,B000MNJMDG,B000N2KWOY,B000PI38QA,B000PHZ7HO,B000S6EZGG,B000SWY05Q,B000WMWR1G,B000YBNL2Y,B00132H3UE,B0013U0EYI,B00176GSEI,B002D48QUC,B003CR4KRM,B003V1I44E,B004Q1OCQ2,B004XHOBAG,B0052H2JXW,B008H6MXBI,B00BH3INN0,B00CUF29WU,B00CYHM3Y8,B00DTW3454,B00EU6NK66,B00II17BAA,B00IZO0LLG,B00JR66VBU,B00LA5NKTM,B00QREE3FG,B00QTTJWMS,B00R5DSC2I,B00U1E54CE,B00U6ZCD2C,B00UVRZLLA,B00X7NEOVS,B00XLYPGF6,B00ZVFKY14,B011J6HJKM,B015OVPE3C,B016IXPWO6,B01714LPZG,B01ALDX700,B01BI6SQ96,B01C8278QQ,B01CKH82Y6,B01EBTAU5K,B01FEDQ1V4,B005C673JI,B0060AXNUI,B00CBEFDFA,B00JTP5COQ,B00N2JO05C,B01A814NT4"
A2NJVP1JZ5G8VD,"B00005JS5C,B0000C4KJX,B000FED5DU,B000URXP6E,B000W9IWMM,B0013YXQ58,B001JKRNX2,B004A7NXG2,B005K0T4OI,B00JY8FFDQ,B00T9CJ83U,B0134QYVOW,B013G464EM,B00FKXV8ZI,B017MNBBFU,B01BH43UHC,B000PHANNM,B007HXMQXM,B00CZ509YU,B00D83TNRM,B00EIQPRR8,B00FXW81RY,B00GOQ3YWA,B00IOCE2F0,B00KW4LIJQ,B00S7J0X12,B00X2RPAVM,B0170ZHCB2,B01ANF7VJO,B01EL9BQ1M,B004NOO37A,B0053WVNPG,B00AJYY7HY,B00COW4G9S,B00F2OZ5JK,B00JUW5SCE,B00LV3SG7Y,B00NGIVLVK,B00TQDC3RK,B016FAVZP2,B01BRAFDZS,B0002ZOF22,B0007M11XQ,B000BYVBIU,B000GAO1PE,B000HX4JWK,B000IOAA3K,B000JYNDXS,B000OSADQE,B000PHTC20,B000PI38QA,B000PHZ7HO,B000WMWR1G,B000YBNL2Y,B00176GSEI,B001T0HHDS,B00203KPDC,B002D48R06,B002D48QUC,B003B6S36S,B003CR4KRM,B003V1I44E,B004Q1OCQ2,B005EZSUS0,B005OS2CHC,B008H6MXBI,B008MAPGEK,B0090QKZ9G,B00BDJ0LX8,B00CBMDZ4S,B00CYHM3Y8,B00DTW3454,B00EEW7NPA,B00EU6NK66,B00FBH5AXY,B00LA5NKTM,B00QREE3FG,B00QTTJWMS,B00U1E54CE,B00U6ZCD2C,B00X7NEOVS,B00X8T2L5W,B00XLYPGF6,B00XU7VW2A,B00ZVFKY14,B011J6HJKM,B013QWS5A0,B015OVPE3C,B016IXPWO6,B01714LPZG,B01DQG37VS,B01FEDQ1V4,B001IY0YOO,B001VGJ00S,B0060AXNUI,B00CBEFDFA,B00ET11X4I,B00JTP5COQ,B00JXMJ1XS,B00N2JO05C"
A2D1LPEUCTNT8X,"B000050FDY,B00005JS5C,B0002JHI1I,B000URXP6E,B000X2FPXC,B002RZZXYE,B004A7NXG2,B006IB5T4W,B000FOI48G,B00BMVV3MK,B00G5L867C,B00W259T7G,B013QT8C56,B000PHANNM,B008VEPDMC,B009RUKQ2G,B00FXW81RY,B00KA3VEG6,B00PJIPZGW,B015POLLZI,B016HUZBFU,B00004U9V2,B00021CDQ6,B0002OZ018,B0002ZW5UQ,B0007M11XQ,B000A5CPJ4,B000GDJDPE,B000GI3TZ4,B000MIH34Q,B000PHUKEE,B000PHZ7HO,B000Q34ZS4,B000SWY05Q,B000YBNL2Y,B0013B53DY,B0013CU7PW,B0013J8ARW,B0013U0EYI,B0015Z532O,B0016191HU,B0018APVTG,B001T0HHDS,B002B4540O,B002D48QUC,B002P3L99G,B003B6S36S,B003CR4KRM,B004JKNYL4,B004N2SQUC,B004Q1OCQ2,B004XHOBAG,B007PCB5OQ,B00837YY18,B008H6MXBI,B00B1IFMH6,B00BH3INN0,B00BNUF34E,B00CLIC7E6,B00CUF29WU,B00CYHM3Y8,B00EU6NK66,B00FBH5AXY,B00GBH8TBS,B00II17BAA,B00J9POUBC,B00JR66VBU,B00KYAYL2E,B00LA5NKTM,B00LA5NHXQ,B00OOF48HS,B00PKA9NWQ,B00QREE3FG,B00QTTJWMS,B00R69ZDW8,B00SXM70UA,B00U1E54CE,B00U6ZCD2C,B00UVRZLLA,B00WNC5L3E,B00X7NEOVS,B00X8T2L5W,B00YHPQLO8,B00ZVFKY14,B011J6HJKM,B013QWS5A0,B016IXPWO6,B01714LPZG,B01A0NT3D6,B01ALDX700,B01B4OIJ62,B01C68GAXE,B01C8278QQ,B01CEJLJOK,B01D90BYKC,B01DQG37VS,B01DWRRVFY,B01EBTAU5K,B01ELU4DSE,B01GOZ61O8"
A1UQBFCERIP7VJ,"B000050FDY,B00005JS5C,B0002JHI1I,B000IQSU0I,B000URXP6E,B000X2FPXC,B001ET7FZE,B001OHV1H4,B005K0T4OI,B006IB5T4W,B007HERMKI,B00JY8FFDQ,B00R3LPI5Q,B00W259T7G,B00GTNZCYQ,B017MNBBFU,B000PHANNM,B001MZ60V0,B00ACIFQGS,B00FXW81RY,B00H96GVYC,B00KA3VEG6,B00KW4LIJQ,B00M2Q3DBI,B00AJYY7HY,B00ENNV74I,B00RT3Y4RQ,B00Y4MXBME,B013CZXV50,B01BD3D93W,B01EWMCIN8,B00021CDQ6,B0002ZOF22,B0002ZW5UQ,B000A5CPJ4,B000GDJDPE,B000GI3TZ4,B000HX4JWK,B000IOAA3K,B000MIH34Q,B000NG90NE,B000PHUKEE,B000PHZ7HO,B000SWY05Q,B000YBNL2Y,B0013B53DY,B0013CU7PW,B0013J8ARW,B0013U0EYI,B0015Z532O,B0016191HU,B0018APVTG,B001ASY0IO,B001C0W8QG,B001T0HHDS,B00203KPDC,B002BU1TZ2,B002D48R5G,B002D48QUC,B003CR4KRM,B003V1I44E,B004Q1OCQ2,B004XHOBAG,B0052H2JXW,B00837YY18,B008H6MXBI,B00BH3INN0,B00CUF29WU,B00CYHM3Y8,B00D6V6TTG,B00DHGE89I,B00EU6NK66,B00FBH5AXY,B00II17BAA,B00LA5NKTM,B00LA5NHXQ,B00PKA9NWQ,B00QA29O2C,B00QREE3FG,B00QTTJWMS,B00SXM70UA,B00U1E54CE,B00U6ZCD2C,B00X7NEOVS,B00X8T2L5W,B00YHPQLO8,B00ZVFKY14,B011J6HJKM,B013QWS5A0,B015OVPE3C,B016IXPWO6,B01714LPZG,B019OS5DRS,B01ALDX700,B01C8278QQ,B01CEJLJOK,B01DQG37VS,B01DWRRVFY,B01EBTAU5K,B00KWHFKHE"
A3QNV9LUNM589P,"B00005JS5C,B0002JHI1I,B000FED5DU,B000URXP6E,B000X2FPXC,B001F51T6S,B001JKRNX2,B00567UTKI,B005K0T4OI,B006IB5T4W,B00IE3Y5GK,B00JY8FFDQ,B00M0RKBVY,B00R3LPI5Q,B00W259T7G,B00W2Y6TI4,B00XATBNNQ,B005CHEIOU,B00SGHZDBU,B000PHANNM,B001MZ60V0,B007HXMQXM,B00FXW81RY,B00GOQ3YWA,B00KA3VEG6,B00KW4LIJQ,B00M2Q3DBI,B00RGN8POW,B00S7J0X12,B00ZOXFI1E,B019OLD7GE,B01COQI5GI,B0053WVNPG,B00I964ISW,B00LAMRNFW,B00NGIVLVK,B00WO4103Q,B01BD3D93W,B01BRAFDZS,B00004U9V2,B0002ZW5UQ,B000A5CPJ4,B000GDJDPE,B000GI3TZ4,B000JYNDXS,B000MIH34Q,B000YBNL2Y,B0013B53DY,B0013J8ARW,B0013U0EYI,B0018APVTG,B001C0W8QG,B001GSM6TS,B001LYAQB2,B002BU1TZ2,B002D48R06,B002D48QUC,B003V1I44E,B004O2542Y,B004Q1OCQ2,B004XHOBAG,B005EZSUS0,B005OS2CHC,B006Z773PM,B007PCB5OQ,B007Y550PO,B008H6MXBI,B008MAPGEK,B009352T34,B00BH3INN0,B00CUF29WU,B00CYHM3Y8,B00D0UEHCY,B00EU6NK66,B00II17BAA,B00KBH80TU,B00LA5NKTM,B00PKA9NWQ,B00QREE3FG,B00QTTJWMS,B00TKOK5KC,B00U1E54CE,B00U6ZCD2C,B00XLYPGF6,B00ZL8YFSE,B00ZPQ129C,B00ZVFKY14,B011J6HJKM,B015OVPE3C,B016IXPWO6,B01714LPZG,B01ADFZC0Y,B01ALDX700,B01C68GAXE,B01C8278QQ,B01CKH82Y6,B01EBTAU5K,B009EDJLW2,B00EXW62CQ,B00KWHFKHE"
A3FKGKUCI3DG9U,"B000050FDY,B00005JS5C,B00006L9LC,B0002JHI1I,B0009RF9DW,B000URXP6E,B000X2FPXC,B001F51T6S,B002RZZXYE,B004A7NXG2,B006IB5T4W,B000FOI48G,B00BMVV3MK,B00W259T7G,B013QT8C56,B01B5GTUM6,B000NWMOBS,B00P5N13SK,B000PHANNM,B009RUKQ2G,B00ACIFQGS,B00FXW81RY,B00KA3VEG6,B018S4OWXU,B01EL9BQ1M,B01FWBN620,B00F8HW4B8,B0132AA7PM,B0197MM56S,B00004U9V2,B00021CDQ6,B0002OZ018,B0002ZW5UQ,B0007M11XQ,B000972KU2,B000A5CPJ4,B000GDJDPE,B000GI3TZ4,B000MIH34Q,B000N2KWOY,B000O7PH34,B000PHUKEE,B000PHZ7HO,B000SWY05Q,B000YBNL2Y,B000Z601F8,B0013B53DY,B0013CU7PW,B0013J8ARW,B0013U0EYI,B0015Z532O,B0018APVTG,B001T0HHDS,B002D48QUC,B002RS6JSA,B003B6S36S,B003CR4KRM,B004LCZEJK,B004N2SQUC,B004Q1OCQ2,B004QA77JW,B004XHOBAG,B0052H2JXW,B007PCB5OQ,B007Y550PO,B00837YY18,B008H6MXBI,B008MAPGEK,B00B1IFMH6,B00BNUF34E,B00CUF29WU,B00CYHM3Y8,B00EU6NK66,B00FBH5AXY,B00GBH8TBS,B00II17BAA,B00LA5NKTM,B00LA5NHXQ,B00QREE3FG,B00QTTJWMS,B00U1E54CE,B00U6ZCD2C,B00UKLH4SU,B00UVRZLLA,B00WNC5L3E,B00X7NEOVS,B00X8T2L5W,B00XLYPGF6,B00ZPQ129C,B00ZVFKY14,B011J6HJKM,B013QWS5A0,B01714LPZG,B01ALDX700,B01B4OIJ62,B01C68GAXE,B01C8278QQ,B01DQG37VS,B01DWRRVFY,B01EBTAU5K"
A2BYZFC6T5MINP,"B000050FDY,B00005JS5C,B00006L9LC,B0002JHI1I,B000GLRREU,B000URXP6E,B000X2FPXC,B002RZZXYE,B004A7NXG2,B006IB5T4W,B000FOI48G,B00BMVV3MK,B00G5L867C,B00W259T7G,B01B5GTUM6,B01C7G4REE,B00ACIFQGS,B00FXW81RY,B00KA3VEG6,B00O4UYXC8,B00PJIPZGW,B00VLWILVG,B01FWBN620,B00021CDQ6,B0002OZ018,B0002ZW5UQ,B000GDJDPE,B000GI3TZ4,B000IOATJU,B000MIH34Q,B000Q388UK,B000SWY05Q,B000YBNL2Y,B000Z601F8,B0013B53DY,B0013J8ARW,B0013U0EYI,B0015Z532O,B0016191HU,B0018APVTG,B001GPUHZQ,B001T0HHDS,B00205CJWK,B002D48QUC,B003B6S36S,B003CR4KRM,B004JKNYL4,B004LCZEJK,B004N2SQUC,B004Q1OCQ2,B004SUY46E,B004XHOBAG,B00512SFZO,B0079K5ZPY,B00837YY18,B0089HGSMK,B008H6MXBI,B009SPQ6IS,B00A8JWJRA,B00BNUF34E,B00CLIC7E6,B00CUF29WU,B00ES5KT54,B00EU6NK66,B00FBH5AXY,B00G187CCO,B00II17BAA,B00J9POUBC,B00KWGZD36,B00LA5NKTM,B00LA5NHXQ,B00LO2RO7K,B00O0GBRL6,B00Q7BBDXY,B00QREE3FG,B00QTTJWMS,B00R69ZDW8,B00SXM70UA,B00U1E54CE,B00U6IC4BE,B00UVRZLLA,B00WNC5L3E,B00X8T2L5W,B00YHPQLO8,B011J6HJKM,B013QWS5A0,B0166EMYQG,B016IXPWO6,B01714LPZG,B019N8UNK6,B01A0NT3D6,B01ALDX700,B01B4OIJ62,B01C8278QQ,B01CEJLJOK,B01DQG37VS,B01DWRRVFY,B01EBTAU5K,B01ELU4DSE,B01FTDAHVO"
